Time	f(number(86400)/count()) – Bitcoin
17.03.2014	536.6459627329192
18.03.2014	591.7808219178082
19.03.2014	540
20.03.2014	488.135593220339
21.03.2014	464.51612903225805
22.03.2014	508.2352941176471
23.03.2014	403.7383177570093
24.03.2014	459.5744680851064
25.03.2014	550.3184713375796
26.03.2014	543.3962264150944
27.03.2014	499.4219653179191
28.03.2014	496.55172413793105
29.03.2014	493.7142857142857
30.03.2014	617.1428571428571
31.03.2014	480
01.04.2014	505.2631578947368
02.04.2014	438.5786802030457
03.04.2014	423.52941176470586
04.04.2014	443.0769230769231
05.04.2014	505.2631578947368
06.04.2014	572.1854304635762
07.04.2014	572.1854304635762
08.04.2014	644.776119402985
09.04.2014	536.6459627329192
10.04.2014	557.4193548387096
11.04.2014	511.2426035502959
12.04.2014	536.6459627329192
13.04.2014	462.03208556149735
14.04.2014	447.6683937823834
15.04.2014	474.72527472527474
16.04.2014	543.3962264150944
17.04.2014	511.2426035502959
18.04.2014	540
19.04.2014	543.3962264150944
20.04.2014	485.39325842696627
21.04.2014	505.2631578947368
22.04.2014	561.038961038961
23.04.2014	523.6363636363636
24.04.2014	572.1854304635762
25.04.2014	474.72527472527474
26.04.2014	530.0613496932515
27.04.2014	488.135593220339
28.04.2014	568.421052631579
29.04.2014	505.2631578947368
30.04.2014	630.6569343065694
01.05.2014	490.90909090909093
02.05.2014	536.6459627329192
03.05.2014	608.4507042253521
04.05.2014	572.1854304635762
05.05.2014	691.2
06.05.2014	445.36082474226805
07.05.2014	543.3962264150944
08.05.2014	517.3652694610779
09.05.2014	508.2352941176471
10.05.2014	482.6815642458101
11.05.2014	568.421052631579
12.05.2014	526.829268292683
13.05.2014	533.3333333333334
14.05.2014	576
15.05.2014	505.2631578947368
16.05.2014	477.34806629834253
17.05.2014	499.4219653179191
18.05.2014	502.3255813953488
19.05.2014	514.2857142857143
20.05.2014	488.135593220339
21.05.2014	493.7142857142857
22.05.2014	502.3255813953488
23.05.2014	523.6363636363636
24.05.2014	561.038961038961
25.05.2014	536.6459627329192
26.05.2014	546.8354430379746
27.05.2014	635.2941176470588
28.05.2014	511.2426035502959
29.05.2014	612.7659574468086
30.05.2014	517.3652694610779
31.05.2014	587.7551020408164
01.06.2014	493.7142857142857
02.06.2014	447.6683937823834
03.06.2014	485.39325842696627
04.06.2014	477.34806629834253
05.06.2014	568.421052631579
06.06.2014	621.5827338129496
07.06.2014	557.4193548387096
08.06.2014	635.2941176470588
09.06.2014	553.8461538461538
10.06.2014	517.3652694610779
11.06.2014	591.7808219178082
12.06.2014	502.3255813953488
13.06.2014	530.0613496932515
14.06.2014	485.39325842696627
