Time_l,Price (BTC/USD) – Bitcoin,sum(Transaction count – Blocks) – Bitcoin,avg(Block size (kB)) – Bitcoin,f(number(86400)/count()) – Bitcoin,avg(Fee – Transactions (USD)) – Bitcoin,t,v
06.07.2009,0.01,84,215.97619047619048,1028.571428571429,0.0,1246406400,3
07.07.2009,0.01,69,215.94202898550725,1252.1739130434785,0.0,1246492800,2
08.07.2009,0.01,74,215.98648648648648,1167.5675675675675,0.0,1246579200,0
09.07.2009,0.01,86,215.72093023255812,1004.6511627906976,0.0,1246665600,0
10.07.2009,0.01,81,215.8641975308642,1066.6666666666667,0.0,1246752000,0
11.07.2009,0.01,83,215.9879518072289,1040.9638554216867,0.0,1246838400,0
12.07.2009,0.01,77,215.7922077922078,1122.077922077922,0.0,1246924800,0
13.07.2009,0.01,78,215.9102564102564,1107.6923076923076,0.0,1247011200,0
14.07.2009,0.01,69,215.95652173913044,1252.1739130434785,0.0,1247097600,0
15.07.2009,0.01,45,215.9777777777778,1920.0,0.0,1247184000,0
16.07.2009,0.01,71,215.85915492957747,1216.901408450704,0.0,1247270400,0
17.07.2009,0.01,47,215.80851063829783,1838.2978723404256,0.0,1247356800,0
18.07.2009,0.01,4,215.0,21600.0,0.0,1247443200,0
19.07.2009,0.01,70,215.8,1234.2857142857142,0.0,1247529600,0
20.07.2009,0.01,71,414.7,1234.2857142857142,1.97183098591e-05,1247616000,0
21.07.2009,0.01,82,215.85365853658536,1053.658536585366,0.0,1247702400,0
22.07.2009,0.01,60,215.4,1440.0,0.0,1247788800,0
23.07.2009,0.01,76,215.68421052631575,1136.842105263158,0.0,1247875200,0
24.07.2009,0.01,73,215.93150684931507,1183.5616438356165,0.0,1247961600,0
25.07.2009,0.01,32,215.84375,2700.0,0.0,1248048000,122
26.07.2009,0.01,21,215.52380952380952,4114.285714285715,0.0,1248134400,0
27.07.2009,0.01,74,215.90540540540545,1167.5675675675675,0.0,1248220800,0
28.07.2009,0.01,41,215.70731707317077,2107.317073170732,0.0,1248307200,0
29.07.2009,0.01,20,229.94736842105263,4547.368421052632,0.0,1248393600,0
30.07.2009,0.01,16,231.2,5760.0,0.0,1248480000,0
31.07.2009,0.01,17,215.7058823529412,5082.35294117647,0.0,1248566400,0
01.08.2009,0.01,28,215.82142857142856,3085.714285714286,0.0,1248652800,0
02.08.2009,0.01,23,215.6086956521739,3756.521739130435,0.0,1248739200,0
03.08.2009,0.01,12,215.83333333333331,7200.0,0.0,1248825600,3
04.08.2009,0.01,81,215.6296296296296,1066.6666666666667,0.0,1248912000,2
05.08.2009,0.01,87,215.72413793103448,993.103448275862,0.0,1248998400,0
06.08.2009,0.01,90,215.92222222222225,960.0,0.0,1249084800,0
07.08.2009,0.01,81,375.525,1080.0,1.6049382716e-05,1249171200,0
08.08.2009,0.01,80,215.875,1080.0,0.0,1249257600,0
09.08.2009,0.01,101,216.0,855.4455445544554,0.0,1249344000,0
10.08.2009,0.01,75,215.98666666666668,1152.0,0.0,1249430400,0
11.08.2009,0.01,70,215.9142857142857,1234.2857142857142,0.0,1249516800,0
12.08.2009,0.01,63,215.52380952380952,1371.428571428571,0.0,1249603200,112
13.08.2009,0.01,85,215.76470588235293,1016.470588235294,0.0,1249689600,0
