"Date","active_addr","avg.Block.size..kB.....Ethereum","Price..ETH.USD....Ethereum","f.number.86400..count......Ethereum","sum.Transaction.count...Blocks....Ethereum","avg.Fee...Transactions..USD.....Ethereum"
2016-02-14,5542,1139.95691382766,5.4900064,17.314629258517,16624,0.0069486308224163
2016-02-15,5680,1126.81708542714,5.259,17.3668341708543,17159,0.00716951805086253
2016-02-16,5680,1127.93034825871,5.095876,17.1940298507463,17549,0.00741992758364961
2016-02-17,5726,1265.17624047766,4.39,17.7887584928969,19990,0.00713204599524187
2016-02-18,5531,1109.474894979,3.798,17.2834566913383,16969,0.00499400313971743
2016-02-19,5524,1156.6618319094,4.42,17.1666997814425,18412,0.0068523322147651
2016-02-20,5224,1046.2829142744,4.688,17.1055236586814,16714,0.00566961555857078
2016-02-21,6281,1050.7434223541,4.35,17.0919881305638,17119,0.00545675195451315
2016-02-22,6000,1090.28728199099,4.635,16.9312169312169,18190,0.00639513186301486
2016-02-23,6043,1117.05795934796,5.7,17.3878043872006,18482,0.0225522829419919
2016-02-24,6031,1108.82700338039,5.5,17.1803539471068,19540,0.0114947488859448
2016-02-25,6599,1113.97601404056,6,16.8486739469579,19503,0.00760776321590317
2016-02-26,5922,1288.87141444115,6.0293436,17.0919881305638,21068,0.0115651779984144
2016-02-27,5917,1101.8922275641,5.82,17.3076923076923,18981,0.00678544032921811
2016-02-28,6495,1091.18890435474,6.3632684,17.1803539471068,19063,0.00765257643351205
2016-02-29,7113,1175.3846473029,6.377561,17.9253112033195,20358,0.00824000706353255
2016-03-01,7653,1156.51128266033,6.294355,17.1021377672209,21778,0.00785790655719598
2016-03-02,8541,1198.61167911915,7.66,16.9878096736138,23562,0.0103170250215703
2016-03-03,9058,1248.44575189469,8.466927,17.2317510969286,24837,0.00994078104781181
2016-03-04,8973,1249.13516219463,9.274502,17.3007609130957,24287,0.0106475310522219
2016-03-05,10056,1314.40794083301,10.211229,16.8158816660179,27115,0.0106424336541714
2016-03-06,9723,1365.81760749949,10.599999,17.6074994905237,27661,0.0121741637726193
2016-03-07,8041,1217.72662156785,11.347936,17.1906088340629,23271,0.0120781565302691
2016-03-08,9468,1242.1289615308,9.500003,17.2214470799282,24105,0.0108127598664031
2016-03-09,9247,1279.46923231108,9.768,17.3180998196031,24557,0.00856568848000537
2016-03-10,9809,1221.54445727483,11.7,16.6281755196305,24814,0.00788201919894075
2016-03-11,9475,1210.99506416584,11.250212,17.0582428430405,23124,0.0076003057674059
2016-03-12,9979,1384.60222974318,11.243398,17.2008759705355,27887,0.00821221148927206
