Time,avg(Block size (kB)) – Ethereum,t,v,t_lambda,avg(Fee – Transactions (USD)) – Ethereum,f(number(86400)/count()) – Ethereum,Price (ETH/USD) – Ethereum,sum(Transaction count – Blocks) – Ethereum
14.01.2016,1061.897445972495,1452729600.0,2751.0,14.01.2016,0.001847520148791,16.974459724950883,1.1038284,10653
15.01.2016,1006.2193154996066,1452816000.0,3123.0,15.01.2016,0.0017133402950006,16.99449252557042,1.1345934,9875
16.01.2016,967.3799048751488,1452902400.0,2662.0,16.01.2016,0.0016399277438644,17.122473246135552,1.1665219,10664
17.01.2016,886.5722795869738,1452988800.0,2578.0,17.01.2016,0.0013598931539374,17.15647339158062,1.1979449,9747
18.01.2016,1056.6766561514196,1453075200.0,3050.0,18.01.2016,0.0022324763932099,17.034700315457414,1.32,12916
19.01.2016,1106.7258648431214,1453161600.0,2844.0,19.01.2016,0.002604541083449,17.37731295253419,1.3793404,13420
20.01.2016,958.949186184994,1453248000.0,3349.0,20.01.2016,0.0016839392803598,17.149662564509725,1.406938,10610
21.01.2016,943.536772113641,1453334400.0,2900.0,21.01.2016,0.0019723674337168,17.408825307273826,1.5607055,10734
22.01.2016,1027.371679648492,1453420800.0,2976.0,22.01.2016,0.0024988268418582,17.25584182144997,1.5470966,13848
23.01.2016,905.7595373376624,1453507200.0,3408.0,23.01.2016,0.0015435558289756,17.532467532467532,1.4561116,11025
24.01.2016,992.8713235294116,1453593600.0,3820.0,24.01.2016,0.0024828999727446,16.71826625386997,1.9370002,12798
25.01.2016,1334.9119032985045,1453680000.0,4035.0,25.01.2016,0.0037330379916767,17.701290719114937,2.0726984,17121
26.01.2016,1228.3260869565215,1453766400.0,4326.0,26.01.2016,0.0043926375625284,16.770186335403725,2.5419183,16511
27.01.2016,1566.1380694360828,1453852800.0,4051.0,27.01.2016,0.0053215952093816,17.338952438290185,2.2470999,18747
28.01.2016,1424.154576003163,1453939200.0,4459.0,28.01.2016,0.0043132502933477,17.078474006720697,2.3204496,16765
29.01.2016,1307.506524794218,1454025600.0,4313.0,29.01.2016,0.0043062767672116,17.34591447500502,2.5,16395
30.01.2016,1179.0801275662748,1454112000.0,4335.0,30.01.2016,0.0044604636026834,17.221447079928243,2.5237656,14661
