Time,Price (BTC/USD) – Bitcoin,sum(Transaction count – Blocks) – Bitcoin,avg(Block size (kB)) – Bitcoin,f(number(86400)/count()) – Bitcoin,avg(Fee – Transactions (USD)) – Bitcoin
19.07.2009,0.01,70.0,215.8,1234.2857142857142,0.0
20.07.2009,0.01,71.0,414.7,1234.2857142857142,1.97183098591e-05
21.07.2009,0.01,82.0,215.85365853658536,1053.658536585366,0.0
22.07.2009,0.01,60.0,215.4,1440.0,0.0
23.07.2009,0.01,76.0,215.68421052631575,1136.842105263158,0.0
24.07.2009,0.01,73.0,215.93150684931507,1183.5616438356165,0.0
25.07.2009,0.01,32.0,215.84375,2700.0,0.0
26.07.2009,0.01,21.0,215.52380952380952,4114.285714285715,0.0
27.07.2009,0.01,74.0,215.90540540540545,1167.5675675675675,0.0
28.07.2009,0.01,41.0,215.70731707317077,2107.317073170732,0.0
29.07.2009,0.01,20.0,229.94736842105263,4547.368421052632,0.0
30.07.2009,0.01,16.0,231.2,5760.0,0.0
31.07.2009,0.01,17.0,215.7058823529412,5082.35294117647,0.0
01.08.2009,0.01,28.0,215.82142857142856,3085.714285714286,0.0
02.08.2009,0.01,23.0,215.6086956521739,3756.521739130435,0.0
03.08.2009,0.01,12.0,215.83333333333331,7200.0,0.0
04.08.2009,0.01,81.0,215.6296296296296,1066.6666666666667,0.0
05.08.2009,0.01,87.0,215.72413793103448,993.103448275862,0.0
06.08.2009,0.01,90.0,215.92222222222225,960.0,0.0
07.08.2009,0.01,81.0,375.525,1080.0,1.6049382716e-05
08.08.2009,0.01,80.0,215.875,1080.0,0.0
09.08.2009,0.01,101.0,216.0,855.4455445544554,0.0
10.08.2009,0.01,75.0,215.98666666666668,1152.0,0.0
11.08.2009,0.01,70.0,215.9142857142857,1234.2857142857142,0.0
12.08.2009,0.01,63.0,215.52380952380952,1371.428571428571,0.0
13.08.2009,0.01,85.0,215.76470588235293,1016.470588235294,0.0
14.08.2009,0.01,63.0,215.82539682539684,1371.428571428571,0.0
15.08.2009,0.01,26.0,215.3846153846154,3323.076923076923,0.0
16.08.2009,0.01,19.0,215.52631578947367,4547.368421052632,0.0
17.08.2009,0.01,17.0,215.8235294117647,5082.35294117647,0.0
18.08.2009,0.01,10.0,216.0,8640.0,0.0
19.08.2009,0.01,18.0,215.38888888888889,4800.0,0.0
20.08.2009,0.01,22.0,215.1818181818182,3927.272727272728,0.0
21.08.2009,0.01,14.0,215.0,6171.428571428572,0.0
22.08.2009,0.01,7.0,215.0,12342.857142857143,0.0
23.08.2009,0.01,15.0,215.53333333333333,5760.0,0.0
24.08.2009,0.01,15.0,215.0,5760.0,0.0
25.08.2009,0.01,50.0,215.66,1728.0,0.0
26.08.2009,0.01,51.0,335.8333333333333,1800.0,0.0
27.08.2009,0.01,29.0,215.3448275862069,2979.310344827586,0.0
28.08.2009,0.01,75.0,215.7333333333333,1152.0,0.0
29.08.2009,0.01,78.0,215.80769230769232,1107.6923076923076,0.0
30.08.2009,0.01,98.0,217.38144329896903,890.7216494845361,0.0
31.08.2009,0.01,87.0,224.34883720930236,1004.6511627906976,0.0
01.09.2009,0.01,78.0,215.7948717948718,1107.6923076923076,0.0
02.09.2009,0.01,66.0,215.84848484848484,1309.090909090909,0.0
03.09.2009,0.01,62.0,242.9016393442623,1416.3934426229507,0.0
04.09.2009,0.01,64.0,215.671875,1350.0,0.0
05.09.2009,0.01,76.0,215.8421052631579,1136.842105263158,0.0
06.09.2009,0.01,68.0,215.85294117647055,1270.5882352941176,0.0
07.09.2009,0.01,79.0,235.43589743589743,1107.6923076923076,0.0
08.09.2009,0.01,69.0,215.768115942029,1252.1739130434785,0.0
09.09.2009,0.01,54.0,215.7962962962963,1600.0,0.0
10.09.2009,0.01,67.0,215.8059701492537,1289.55223880597,0.0
11.09.2009,0.01,67.0,215.82089552238807,1289.55223880597,0.0
12.09.2009,0.01,69.0,215.8840579710145,1252.1739130434785,0.0
13.09.2009,0.01,75.0,215.84,1152.0,0.0
14.09.2009,0.01,74.0,215.85135135135133,1167.5675675675675,0.0
15.09.2009,0.01,44.0,215.8636363636364,1963.636363636364,0.0
16.09.2009,0.01,73.0,218.875,1200.0,0.0
17.09.2009,0.01,85.0,354.2261904761905,1028.571428571429,1.41176470588e-05
18.09.2009,0.01,78.0,215.80769230769232,1107.6923076923076,0.0
19.09.2009,0.01,74.0,215.95945945945945,1167.5675675675675,0.0
20.09.2009,0.01,78.0,215.98717948717947,1107.6923076923076,0.0
21.09.2009,0.01,70.0,229.7536231884058,1252.1739130434785,0.0
22.09.2009,0.01,26.0,399.84,3456.0,0.0
23.09.2009,0.01,36.0,215.72222222222223,2400.0,0.0
24.09.2009,0.01,97.0,215.5051546391753,890.7216494845361,0.0
25.09.2009,0.01,93.0,249.3186813186813,949.4505494505496,0.0
26.09.2009,0.01,100.0,215.46,864.0,0.0
27.09.2009,0.01,88.0,237.3793103448276,993.103448275862,0.0
28.09.2009,0.01,85.0,215.9294117647059,1016.470588235294,0.0
29.09.2009,0.01,90.0,272.6136363636364,981.818181818182,0.0
30.09.2009,0.01,85.0,215.76470588235293,1016.470588235294,0.0
01.10.2009,0.01,82.0,215.890243902439,1053.658536585366,0.0
02.10.2009,0.01,73.0,232.22222222222223,1200.0,0.0
03.10.2009,0.01,58.0,215.41379310344828,1489.655172413793,0.0
04.10.2009,0.01,53.0,215.67924528301887,1630.188679245283,0.0
05.10.2009,0.01,55.0,215.76363636363635,1570.909090909091,0.0
06.10.2009,0.01,45.0,259.1162790697674,2009.3023255813955,0.0
07.10.2009,0.01,60.0,215.71666666666667,1440.0,0.0
08.10.2009,0.01,70.0,215.47142857142856,1234.2857142857142,0.0
09.10.2009,0.01,79.0,215.6582278481013,1093.6708860759493,0.0
10.10.2009,0.01,77.0,215.8181818181818,1122.077922077922,0.0
11.10.2009,0.01,74.0,215.75675675675677,1167.5675675675675,0.0
12.10.2009,0.01,59.0,364.3793103448276,1489.655172413793,0.0
13.10.2009,0.01,57.0,215.80701754385964,1515.7894736842106,0.0
14.10.2009,0.01,69.0,215.6231884057971,1252.1739130434785,0.0
15.10.2009,0.01,71.0,215.3661971830986,1216.901408450704,0.0
16.10.2009,0.01,61.0,372.51666666666665,1440.0,0.0
17.10.2009,0.01,57.0,215.8421052631579,1515.7894736842106,0.0
18.10.2009,0.01,75.0,227.0,1167.5675675675675,0.0
19.10.2009,0.01,112.0,215.44642857142856,771.4285714285714,0.0
20.10.2009,0.01,96.0,338.0,909.4736842105264,1.25e-05
21.10.2009,0.01,81.0,241.6625,1080.0,0.0
22.10.2009,0.01,91.0,268.1222222222222,960.0,0.0
23.10.2009,0.01,89.0,215.42696629213484,970.7865168539324,0.0
24.10.2009,0.01,63.0,230.1935483870968,1393.548387096774,0.0
25.10.2009,0.01,76.0,215.57894736842104,1136.842105263158,0.0
26.10.2009,0.01,71.0,215.80281690140845,1216.901408450704,0.0
27.10.2009,0.01,65.0,245.78125,1350.0,0.0
28.10.2009,0.01,66.0,215.6818181818182,1309.090909090909,0.0
29.10.2009,0.01,48.0,319.39130434782606,1878.2608695652173,0.0
30.10.2009,0.01,60.0,215.46666666666667,1440.0,0.0
31.10.2009,0.01,46.0,215.30434782608697,1878.2608695652173,0.0
01.11.2009,0.01,25.0,215.28,3456.0,0.0
02.11.2009,0.01,33.0,215.3939393939394,2618.181818181818,0.0
03.11.2009,0.01,62.0,215.53225806451613,1393.548387096774,0.0
04.11.2009,0.01,64.0,294.1111111111111,1371.428571428571,0.0
05.11.2009,0.01,57.0,215.47368421052636,1515.7894736842106,0.0
06.11.2009,0.01,62.0,215.5483870967742,1393.548387096774,0.0
07.11.2009,0.01,69.0,215.66666666666663,1252.1739130434785,0.0
08.11.2009,0.01,73.0,215.54794520547944,1183.5616438356165,0.0
09.11.2009,0.01,64.0,215.6875,1350.0,0.0
10.11.2009,0.01,78.0,215.3846153846154,1107.6923076923076,0.0
11.11.2009,0.01,73.0,331.453125,1350.0,0.0
12.11.2009,0.01,66.0,215.42424242424244,1309.090909090909,0.0
13.11.2009,0.01,83.0,238.45,1080.0,0.0
14.11.2009,0.01,79.0,215.63291139240508,1093.6708860759493,0.0
15.11.2009,0.01,96.0,215.625,900.0,0.0
16.11.2009,0.01,97.0,215.68041237113405,890.7216494845361,0.0
17.11.2009,0.01,92.0,215.66304347826087,939.1304347826087,0.0
18.11.2009,0.01,79.0,215.43037974683543,1093.6708860759493,0.0
19.11.2009,0.01,72.0,375.2,1234.2857142857142,0.0
20.11.2009,0.01,86.0,215.61627906976744,1004.6511627906976,0.0
21.11.2009,0.01,73.0,215.7123287671233,1183.5616438356165,0.0
22.11.2009,0.01,106.0,215.7075471698113,815.0943396226415,0.0
23.11.2009,0.01,96.0,215.85416666666663,900.0,0.0
24.11.2009,0.01,93.0,215.56989247311827,929.032258064516,0.0
25.11.2009,0.01,90.0,215.64444444444445,960.0,0.0
26.11.2009,0.01,84.0,215.5119047619048,1028.571428571429,0.0
27.11.2009,0.01,74.0,215.47297297297297,1167.5675675675675,0.0
28.11.2009,0.01,71.0,215.56338028169012,1216.901408450704,0.0
29.11.2009,0.01,60.0,215.6833333333333,1440.0,0.0
30.11.2009,0.01,75.0,215.76,1152.0,0.0
01.12.2009,0.01,74.0,483.7808219178082,1183.5616438356165,2.97297297297e-05
02.12.2009,0.01,94.0,215.6489361702128,919.1489361702128,0.0
03.12.2009,0.01,88.0,215.7840909090909,981.818181818182,0.0
04.12.2009,0.01,36.0,215.44444444444449,2400.0,0.0
05.12.2009,0.01,65.0,249.015625,1350.0,0.0
06.12.2009,0.01,105.0,220.35922330097088,838.8349514563107,0.0
07.12.2009,0.01,112.0,215.64285714285717,771.4285714285714,0.0
08.12.2009,0.01,107.0,249.2095238095238,822.8571428571429,0.0
09.12.2009,0.01,109.0,263.2083333333333,900.0,0.0
10.12.2009,0.01,104.0,215.6442307692308,830.7692307692307,0.0
11.12.2009,0.01,112.0,215.34821428571428,771.4285714285714,0.0
12.12.2009,0.01,112.0,286.44545454545454,785.4545454545455,0.0
13.12.2009,0.01,114.0,215.75438596491227,757.8947368421053,0.0
14.12.2009,0.01,107.0,591.4705882352941,847.0588235294117,0.0
15.12.2009,0.01,112.0,226.9454545454545,785.4545454545455,0.0
16.12.2009,0.01,137.0,230.21323529411765,635.2941176470588,0.0
17.12.2009,0.01,172.0,224.9644970414201,511.2426035502959,0.0
18.12.2009,0.01,225.0,215.54222222222225,384.0,0.0
19.12.2009,0.01,199.0,216.7171717171717,436.3636363636364,0.0
20.12.2009,0.01,175.0,215.9142857142857,493.7142857142857,0.0
21.12.2009,0.01,176.0,216.5771428571429,493.7142857142857,0.0
22.12.2009,0.01,162.0,215.72222222222223,533.3333333333334,0.0
23.12.2009,0.01,154.0,215.67532467532467,561.038961038961,0.0
24.12.2009,0.01,154.0,215.6883116883117,561.038961038961,0.0
25.12.2009,0.01,150.0,217.3020134228188,579.8657718120805,0.0
26.12.2009,0.01,174.0,215.7183908045977,496.5517241379311,0.0
27.12.2009,0.01,168.0,219.79640718562877,517.3652694610779,0.0
28.12.2009,0.01,137.0,215.75182481751824,630.6569343065694,0.0
29.12.2009,0.01,171.0,215.64912280701756,505.2631578947368,0.0
30.12.2009,0.01,141.0,215.68794326241132,612.7659574468086,0.0
31.12.2009,0.01,138.0,215.69565217391303,626.0869565217391,0.0
01.01.2010,0.01,134.0,217.95454545454547,654.5454545454545,0.0
02.01.2010,0.01,126.0,215.62698412698413,685.7142857142857,0.0
03.01.2010,0.01,186.0,215.76344086021504,464.5161290322581,0.0
04.01.2010,0.01,183.0,269.04419889502765,477.3480662983425,0.0
05.01.2010,0.01,198.0,215.63131313131316,436.3636363636364,0.0
06.01.2010,0.01,163.0,215.7423312883436,530.0613496932515,0.0
07.01.2010,0.01,154.0,215.63636363636363,561.038961038961,0.0
08.01.2010,0.01,153.0,215.7581699346405,564.7058823529412,0.0
09.01.2010,0.01,151.0,215.82781456953643,572.1854304635762,0.0
10.01.2010,0.01,190.0,215.8,454.7368421052632,0.0
11.01.2010,0.01,159.0,215.6981132075472,543.3962264150944,0.0
12.01.2010,0.01,161.0,372.0125786163522,543.3962264150944,1.61490683229e-05
13.01.2010,0.01,166.0,218.5060975609756,526.829268292683,0.0
14.01.2010,0.01,145.0,224.5734265734266,604.1958041958042,0.0
15.01.2010,0.01,142.0,219.90070921985816,612.7659574468086,0.0
16.01.2010,0.01,126.0,222.28,691.2,0.0
