"Date","active_addr","avg.Block.size..kB.....Bitcoin","Price..BTC.USD....Bitcoin","f.number.86400..count......Bitcoin","sum.Transaction.count...Blocks....Bitcoin","avg.Fee...Transactions..USD.....Bitcoin"
2009-10-13,0,215.80701754386,0.01,1515.78947368421,57,0
2009-10-14,0,215.623188405797,0.01,1252.17391304348,69,0
2009-10-15,0,215.366197183099,0.01,1216.9014084507,71,0
2009-10-16,81,372.516666666667,0.01,1440,61,0
2009-10-17,0,215.842105263158,0.01,1515.78947368421,57,0
2009-10-18,8,227,0.01,1167.56756756757,75,0
2009-10-19,0,215.446428571429,0.01,771.428571428571,112,0
2009-10-20,102,338,0.01,909.473684210526,96,1.25e-05
2009-10-21,19,241.6625,0.01,1080,81,0
2009-10-22,40,268.122222222222,0.01,960,91,0
2009-10-23,0,215.426966292135,0.01,970.786516853933,89,0
2009-10-24,8,230.193548387097,0.01,1393.54838709677,63,0
2009-10-25,0,215.578947368421,0.01,1136.84210526316,76,0
2009-10-26,0,215.802816901408,0.01,1216.9014084507,71,0
2009-10-27,17,245.78125,0.01,1350,65,0
2009-10-28,0,215.681818181818,0.01,1309.09090909091,66,0
2009-10-29,43,319.391304347826,0.01,1878.26086956522,48,0
2009-10-30,0,215.466666666667,0.01,1440,60,0
2009-10-31,0,215.304347826087,0.01,1878.26086956522,46,0
2009-11-01,0,215.28,0.01,3456,25,0
2009-11-02,0,215.393939393939,0.01,2618.18181818182,33,0
2009-11-03,0,215.532258064516,0.01,1393.54838709677,62,0
2009-11-04,42,294.111111111111,0.01,1371.42857142857,64,0
2009-11-05,0,215.473684210526,0.01,1515.78947368421,57,0
2009-11-06,0,215.548387096774,0.01,1393.54838709677,62,0
2009-11-07,0,215.666666666667,0.01,1252.17391304348,69,0
2009-11-08,0,215.547945205479,0.01,1183.56164383562,73,0
2009-11-09,0,215.6875,0.01,1350,64,0
2009-11-10,0,215.384615384615,0.01,1107.69230769231,78,0
2009-11-11,52,331.453125,0.01,1350,73,0
2009-11-12,0,215.424242424242,0.01,1309.09090909091,66,0
2009-11-13,13,238.45,0.01,1080,83,0
