Time	sum(Transaction count – Blocks) – Ethereum
22.10.2017	435493
23.10.2017	468168
24.10.2017	492288
25.10.2017	460419
26.10.2017	466406
27.10.2017	486147
28.10.2017	484554
29.10.2017	494176
30.10.2017	532626
31.10.2017	519906
01.11.2017	527783
02.11.2017	529277
03.11.2017	485790
04.11.2017	398758
05.11.2017	417102
06.11.2017	511663
07.11.2017	470418
08.11.2017	480413
09.11.2017	467172
10.11.2017	457427
11.11.2017	394378
12.11.2017	434380
13.11.2017	443176
14.11.2017	475984
15.11.2017	540593
16.11.2017	491482
17.11.2017	508590
18.11.2017	459679
19.11.2017	464563
20.11.2017	530141
21.11.2017	524044
22.11.2017	546489
23.11.2017	537068
24.11.2017	525529
25.11.2017	561166
26.11.2017	542484
27.11.2017	608695
28.11.2017	638989
29.11.2017	663579
30.11.2017	655457
01.12.2017	622720
02.12.2017	627785
03.12.2017	693808
04.12.2017	701834
05.12.2017	693090
06.12.2017	791746
07.12.2017	659068
08.12.2017	766411
09.12.2017	707223
10.12.2017	716575
11.12.2017	828899
12.12.2017	872340
13.12.2017	909631
14.12.2017	942559
15.12.2017	904346
16.12.2017	899857
17.12.2017	876574
18.12.2017	984021
19.12.2017	1092234
20.12.2017	986104
21.12.2017	1072665
22.12.2017	1103523
23.12.2017	918881
24.12.2017	758234
25.12.2017	752361
26.12.2017	813510
27.12.2017	912752
28.12.2017	949503
29.12.2017	1090191
30.12.2017	1136659
31.12.2017	946981
01.01.2018	908945
02.01.2018	1153936
03.01.2018	1238030
04.01.2018	1349890
05.01.2018	1271577
06.01.2018	1226417
07.01.2018	1152722
08.01.2018	1215473
09.01.2018	1256240
10.01.2018	1177685
11.01.2018	1173965
12.01.2018	1118757
13.01.2018	1179321
14.01.2018	1081593
15.01.2018	1206420
16.01.2018	1277936
17.01.2018	1277083
18.01.2018	1205184
19.01.2018	1043257
20.01.2018	984489
21.01.2018	1006530
22.01.2018	972911
23.01.2018	928494
24.01.2018	913668
25.01.2018	788515
26.01.2018	953429
27.01.2018	831992
28.01.2018	889104
29.01.2018	936845
30.01.2018	906578
31.01.2018	877284
01.02.2018	1008759
02.02.2018	981133
03.02.2018	814486
04.02.2018	800876
05.02.2018	875761
06.02.2018	888219
07.02.2018	818625
08.02.2018	681344
09.02.2018	789807
10.02.2018	848390
11.02.2018	773496
12.02.2018	829020
13.02.2018	745822
14.02.2018	746384
15.02.2018	777318
16.02.2018	704758
17.02.2018	772079
18.02.2018	756092
19.02.2018	811384
20.02.2018	886897
21.02.2018	850504
22.02.2018	761893
23.02.2018	733084
24.02.2018	732861
25.02.2018	690582
26.02.2018	737453
27.02.2018	694583
28.02.2018	720368
01.03.2018	684404
02.03.2018	744666
03.03.2018	673465
04.03.2018	643241
05.03.2018	752756
06.03.2018	712591
07.03.2018	783757
08.03.2018	690139
09.03.2018	650058
10.03.2018	591377
11.03.2018	608899
12.03.2018	677908
13.03.2018	699093
14.03.2018	671198
15.03.2018	654531
16.03.2018	654584
17.03.2018	593203
18.03.2018	684094
19.03.2018	703891
20.03.2018	661791
21.03.2018	697872
22.03.2018	619453
23.03.2018	677103
24.03.2018	613203
25.03.2018	526372
26.03.2018	626615
27.03.2018	584055
28.03.2018	579858
29.03.2018	583673
30.03.2018	633616
31.03.2018	584396
01.04.2018	545141
02.04.2018	598505
03.04.2018	645977
04.04.2018	628441
05.04.2018	695871
06.04.2018	647981
07.04.2018	535865
08.04.2018	595733
09.04.2018	609799
10.04.2018	571388
11.04.2018	609102
12.04.2018	692606
13.04.2018	730344
14.04.2018	611188
15.04.2018	619985
16.04.2018	664402
17.04.2018	742823
18.04.2018	703293
19.04.2018	814318
20.04.2018	832220
21.04.2018	746104
22.04.2018	748858
23.04.2018	802870
24.04.2018	816357
25.04.2018	799014
26.04.2018	793873
27.04.2018	764479
28.04.2018	775321
29.04.2018	756651
30.04.2018	778133
01.05.2018	713839
02.05.2018	787722
03.05.2018	839586
04.05.2018	1000526
05.05.2018	789261
06.05.2018	691273
07.05.2018	789863
08.05.2018	820098
09.05.2018	831127
10.05.2018	854827
11.05.2018	826099
12.05.2018	788487
13.05.2018	762439
14.05.2018	801788
15.05.2018	779210
16.05.2018	807257
17.05.2018	835761
18.05.2018	831831
19.05.2018	846288
20.05.2018	777283
21.05.2018	802211
22.05.2018	822409
23.05.2018	833377
24.05.2018	811167
25.05.2018	800838
26.05.2018	761932
27.05.2018	776024
28.05.2018	861002
29.05.2018	812183
30.05.2018	817167
31.05.2018	832842
01.06.2018	758242
02.06.2018	768017
03.06.2018	809997
04.06.2018	807165
05.06.2018	780654
06.06.2018	754070
07.06.2018	775828
08.06.2018	720017
09.06.2018	769427
10.06.2018	771280
11.06.2018	768985
12.06.2018	770199
13.06.2018	797637
14.06.2018	765916
15.06.2018	763803
16.06.2018	639775
17.06.2018	648548
18.06.2018	695753
19.06.2018	778765
20.06.2018	803076
21.06.2018	752035
22.06.2018	770457
23.06.2018	675918
24.06.2018	671994
25.06.2018	837265
26.06.2018	732170
27.06.2018	771938
28.06.2018	744784
29.06.2018	735092
30.06.2018	632981
01.07.2018	622633
02.07.2018	489559
03.07.2018	573532
04.07.2018	447112
05.07.2018	527586
06.07.2018	459075
07.07.2018	484105
08.07.2018	631505
09.07.2018	651926
10.07.2018	691771
11.07.2018	643920
12.07.2018	566058
13.07.2018	563317
14.07.2018	508951
15.07.2018	453706
16.07.2018	703999
17.07.2018	701292
18.07.2018	746145
19.07.2018	734702
20.07.2018	671608
21.07.2018	620634
22.07.2018	675356
23.07.2018	758657
24.07.2018	784910
25.07.2018	787527
26.07.2018	725630
27.07.2018	788715
28.07.2018	703973
29.07.2018	716354
30.07.2018	757712
31.07.2018	745063
01.08.2018	757758
02.08.2018	779928
03.08.2018	753190
04.08.2018	720548
05.08.2018	704249
06.08.2018	699536
07.08.2018	636342
08.08.2018	565663
09.08.2018	538530
10.08.2018	613892
11.08.2018	657312
12.08.2018	641927
13.08.2018	694941
14.08.2018	690348
15.08.2018	648565
16.08.2018	716732
17.08.2018	607270
18.08.2018	627522
19.08.2018	599660
20.08.2018	663769
21.08.2018	605639
22.08.2018	594918
23.08.2018	599557
24.08.2018	596227
25.08.2018	577239
26.08.2018	574072
27.08.2018	645935
28.08.2018	613844
29.08.2018	546841
30.08.2018	592847
31.08.2018	577258
01.09.2018	656254
02.09.2018	620267
03.09.2018	631429
04.09.2018	589521
05.09.2018	626957
06.09.2018	588959
07.09.2018	582184
08.09.2018	543337
09.09.2018	565631
10.09.2018	561611
11.09.2018	557317
12.09.2018	570673
13.09.2018	555753
14.09.2018	514394
15.09.2018	479695
16.09.2018	458432
17.09.2018	553720
18.09.2018	500513
19.09.2018	507255
20.09.2018	498146
21.09.2018	544686
22.09.2018	470309
23.09.2018	468627
24.09.2018	480337
25.09.2018	519108
26.09.2018	493507
27.09.2018	504047
28.09.2018	500407
29.09.2018	434315
30.09.2018	479351
01.10.2018	476308
02.10.2018	490262
03.10.2018	559006
04.10.2018	559181
05.10.2018	595361
06.10.2018	596865
07.10.2018	497767
08.10.2018	542842
09.10.2018	537028
10.10.2018	516772
11.10.2018	570525
12.10.2018	562140
13.10.2018	541797
14.10.2018	511719
15.10.2018	562011
16.10.2018	575450
17.10.2018	580354
18.10.2018	565791
19.10.2018	601119
20.10.2018	534080
21.10.2018	508014
22.10.2018	577314
23.10.2018	556231
24.10.2018	532709
25.10.2018	537236
26.10.2018	551218
27.10.2018	499165
28.10.2018	509862
29.10.2018	614695
30.10.2018	608397
31.10.2018	585707
01.11.2018	589096
02.11.2018	548534
03.11.2018	505015
04.11.2018	510848
05.11.2018	582354
06.11.2018	597166
07.11.2018	564602
08.11.2018	555392
09.11.2018	547848
10.11.2018	489120
11.11.2018	527799
12.11.2018	571162
13.11.2018	553590
14.11.2018	582181
15.11.2018	563051
16.11.2018	552107
17.11.2018	505581
18.11.2018	484801
19.11.2018	622942
20.11.2018	625752
21.11.2018	579531
22.11.2018	568895
23.11.2018	559992
24.11.2018	497091
25.11.2018	529038
26.11.2018	557388
27.11.2018	565825
28.11.2018	622580
29.11.2018	555591
30.11.2018	599039
01.12.2018	525757
02.12.2018	494742
03.12.2018	548100
04.12.2018	565202
05.12.2018	595937
06.12.2018	590923
07.12.2018	572417
08.12.2018	552651
09.12.2018	507555
10.12.2018	555379
11.12.2018	536006
12.12.2018	533920
13.12.2018	565689
14.12.2018	567306
15.12.2018	551916
16.12.2018	516697
17.12.2018	570051
18.12.2018	556320
19.12.2018	597824
20.12.2018	602429
21.12.2018	608884
22.12.2018	495551
23.12.2018	543655
24.12.2018	615551
25.12.2018	535001
26.12.2018	560047
27.12.2018	548411
28.12.2018	572189
29.12.2018	543746
30.12.2018	460395
31.12.2018	522040
01.01.2019	448168
02.01.2019	589959
03.01.2019	596620
04.01.2019	549398
05.01.2019	511189
06.01.2019	487372
07.01.2019	550964
08.01.2019	553367
09.01.2019	558847
10.01.2019	582839
11.01.2019	541838
12.01.2019	452707
13.01.2019	481347
14.01.2019	577239
15.01.2019	539896
16.01.2019	507687
17.01.2019	517082
18.01.2019	538899
19.01.2019	539125
20.01.2019	537705
21.01.2019	582751
22.01.2019	605558
23.01.2019	533819
24.01.2019	520130
25.01.2019	504903
26.01.2019	464380
27.01.2019	488814
28.01.2019	568564
29.01.2019	566026
30.01.2019	555347
31.01.2019	517057
01.02.2019	498856
02.02.2019	450314
03.02.2019	424378
04.02.2019	416394
05.02.2019	414815
06.02.2019	429065
07.02.2019	428676
08.02.2019	471952
09.02.2019	417129
10.02.2019	381151
11.02.2019	429007
12.02.2019	438111
13.02.2019	491354
14.02.2019	474782
15.02.2019	468599
16.02.2019	454309
17.02.2019	447945
18.02.2019	512455
19.02.2019	533602
20.02.2019	530268
21.02.2019	544817
22.02.2019	530839
23.02.2019	476225
24.02.2019	540201
25.02.2019	573756
26.02.2019	553925
27.02.2019	539516
28.02.2019	541458
01.03.2019	547622
02.03.2019	526912
03.03.2019	492382
04.03.2019	620211
05.03.2019	598085
06.03.2019	578932
07.03.2019	572685
08.03.2019	562361
09.03.2019	555854
10.03.2019	484038
11.03.2019	536412
12.03.2019	564306
13.03.2019	573281
14.03.2019	573828
15.03.2019	553012
16.03.2019	504183
17.03.2019	494872
18.03.2019	573940
19.03.2019	635940
20.03.2019	630313
21.03.2019	618318
22.03.2019	628700
23.03.2019	561778
24.03.2019	549073
25.03.2019	648670
26.03.2019	629010
27.03.2019	625948
28.03.2019	634367
29.03.2019	640352
30.03.2019	667967
31.03.2019	646230
01.04.2019	687574
02.04.2019	758900
03.04.2019	746605
04.04.2019	673520
05.04.2019	621924
06.04.2019	559039
07.04.2019	572886
08.04.2019	668000
09.04.2019	656914
10.04.2019	676731
11.04.2019	729032
12.04.2019	694793
13.04.2019	614291
14.04.2019	551055
15.04.2019	622058
16.04.2019	656461
17.04.2019	681896
18.04.2019	697650
19.04.2019	693183
20.04.2019	686824
21.04.2019	631190
22.04.2019	719306
23.04.2019	729268
24.04.2019	668917
25.04.2019	683915
26.04.2019	661061
27.04.2019	562687
28.04.2019	593482
29.04.2019	628989
30.04.2019	707771
01.05.2019	703790
02.05.2019	626308
03.05.2019	670882
04.05.2019	623395
05.05.2019	637464
06.05.2019	706135
07.05.2019	658146
08.05.2019	686996
09.05.2019	718440
10.05.2019	736762
11.05.2019	742337
12.05.2019	715827
13.05.2019	758695
14.05.2019	830785
15.05.2019	847606
16.05.2019	908208
17.05.2019	810320
