Time	avg(Block size (kB)) – Ethereum
30.03.2022	83747.79605880514
31.03.2022	85719.56361085127
01.04.2022	87025.60690405847
02.04.2022	89474.55709342561
03.04.2022	92114.7852474323
04.04.2022	91129.59645793801
05.04.2022	89597.01025163094
06.04.2022	94644.23605484575
07.04.2022	102100.80551230146
08.04.2022	100594.78782142294
09.04.2022	92217.93389329601
10.04.2022	97366.89048586159
11.04.2022	93680.07383279044
12.04.2022	92832.92941358982
13.04.2022	92827.30497465146
14.04.2022	92959.10624024962
15.04.2022	88831.86653169288
16.04.2022	87808.02857589007
17.04.2022	91637.43756802985
18.04.2022	92883.45559055118
19.04.2022	92489.6880361878
20.04.2022	97681.18378462495
21.04.2022	91294.72166587188
22.04.2022	94383.9530714063
23.04.2022	90136.60696907864
24.04.2022	95804.98588013806
25.04.2022	95000.32324187954
26.04.2022	89904.5457278481
27.04.2022	97547.38169852711
28.04.2022	90735.37255828608
29.04.2022	88750.66279799247
30.04.2022	85285.57662624035
01.05.2022	87744.45400407459
02.05.2022	86340.57792105677
03.05.2022	90296.54228463238
04.05.2022	90234.75998721637
05.05.2022	92949.29976171565
06.05.2022	92360.74575733545
07.05.2022	83276.95765420262
08.05.2022	79985.24127585662
09.05.2022	91599.48732849072
10.05.2022	98301.43991623711
11.05.2022	99988.60397601766
12.05.2022	98964.37879767292
13.05.2022	88510.76503847966
14.05.2022	86964.38560205227
15.05.2022	88217.00651931945
16.05.2022	90246.44290712469
17.05.2022	103812.65457438346
18.05.2022	89802.34998398976
19.05.2022	93538.25605366493
20.05.2022	93262.12447188821
21.05.2022	98302.94399350649
22.05.2022	100975.04590003267
23.05.2022	94581.59832770542
24.05.2022	98534.78547909121
25.05.2022	102835.10397404704
26.05.2022	112811.0981615233
27.05.2022	99428.06465101319
28.05.2022	96246.8807979241
29.05.2022	112139.85366249798
30.05.2022	102688.30987532808
31.05.2022	108154.46013667426
01.06.2022	125888.32815819579
02.06.2022	127455.67678571428
03.06.2022	115368.91507742461
04.06.2022	108304.86963892185
05.06.2022	109392.89105910086
06.06.2022	107199.00017259234
07.06.2022	110405.83028369985
08.06.2022	112451.87897331294
09.06.2022	100857.86811294766
10.06.2022	92869.15719857554
11.06.2022	92584.45669962496
12.06.2022	95441.4367186162
13.06.2022	99745.97532133677
14.06.2022	98804.43257351662
15.06.2022	96504.5627826087
16.06.2022	87082.44106529209
17.06.2022	85005.84429301533
18.06.2022	86949.47111416781
19.06.2022	85306.26090001751
20.06.2022	84640.90257196389
21.06.2022	89999.13010064044
22.06.2022	96924.55723622782
23.06.2022	91867.05613109813
24.06.2022	95692.73648900485
25.06.2022	97502.8965775201
26.06.2022	109448.6581920904
27.06.2022	103878.87913509518
28.06.2022	95146.15549698795
29.06.2022	103379.3276444111
30.06.2022	95063
01.07.2022	80287.18342370256
02.07.2022	77835.72456843403
03.07.2022	81207.04785932721
04.07.2022	82624.63263403263
05.07.2022	85825.6817971283
06.07.2022	81529.00293209877
07.07.2022	83732.05764137716
08.07.2022	82623.94506332977
09.07.2022	83419.0754599314
10.07.2022	82233.44326404927
11.07.2022	81512.29287476867
12.07.2022	82884.80724927047
13.07.2022	85891.98237679352
14.07.2022	84110.59556574923
15.07.2022	84352.07830950902
16.07.2022	84132.18827543424
17.07.2022	85065.88639900404
18.07.2022	88572.23869268897
19.07.2022	81056.20027794935
20.07.2022	84300.93931398417
21.07.2022	84739.03243744207
22.07.2022	80839.09276437848
23.07.2022	82352.86307311029
24.07.2022	83636.82408998594
25.07.2022	86433.90007818608
26.07.2022	84632.36504702194
27.07.2022	81309.5765583709
28.07.2022	84234.2311276794
29.07.2022	83336.94208313873
30.07.2022	82555.75502258215
31.07.2022	82523.27861939716
01.08.2022	83749.75593851887
02.08.2022	83353.53242320819
03.08.2022	84139.15059008654
04.08.2022	83379.46094850525
05.08.2022	89407.30436117935
06.08.2022	82974.6283476899
07.08.2022	82541.76527131782
08.08.2022	84838.97649073642
09.08.2022	84650.14215918045
10.08.2022	93481.68705882353
11.08.2022	86458.21412733608
12.08.2022	81448.44805297178
13.08.2022	82517.615830721
14.08.2022	86978.72665400444
15.08.2022	81306.2809759209
